Judul,Penulis,Tahun,topics,probabilities
pemilihan burung metode simple additive weighting saw technique order preference by similarity to ideal solution topsis,"Rizal Rudiantoro, Imam Cholisoddin, Ratih Kartika Dewi",28 Feb 2019,33,0.9154561290975004
sistem simulasi perkiraan penyebaran api gunung arjuno kawasan tahura r soerjo tangible landscape,"Adhi Isti Febriandhika, Fatwa Ramdhani, Alfi Nur Rusydi",28 Feb 2019,-1,0.0
protokol mqtt message queuing telemetry transport monitoring infus pasien terpusat,"Sutikno Sutikno, Dahnial Syauqy, Rakhmadhany Primananda",28 Feb 2019,119,1.0
pengenalan wajah pendukung keamanan algoritme haarclassifier eigenface berbasis raspberry pi,"Hernanda Agung Saputra, Fitri Utaminingrum, Wijaya Kurniawan",28 Feb 2019,18,0.43351107086884444
jarak bola robot kiper sepak bola hough circle transformation berbasis raspberry pi,"Tunggal Manda Ary Triyono, Hurriyatul Fitriyah, Mochammad Hannats Hanafi Ichsan",28 Feb 2019,-1,0.0
low power sensor node berbasis protokol message queue telemetry transport sensor network mqttsn atmegap,"Muhammad Sabilillah, Sabriansyah Rizqika Akbar, Rakhmadhany Primananda",28 Feb 2019,119,0.929352999123094
usability aplikasi mobile kai access metode system usability scale sus discovery prototyping studi pt kai,"Adena Nioga, Komang Candra Brata, Lutfi Fanani",28 Feb 2019,0,0.8134968735552951
otomasi kandang rangka meminimalisir heat stress ayam broiler metode fuzzy sugeno,"Abdurrahman Arif Kasim, Rizal Maulana, Gembong Edhi Setyawan",28 Feb 2019,52,1.0
stateful packet inspection metode ndpmon duplicate address detection,"Steven Urbani, Widhi Yahya, Eko Sakti Pramukantoro",28 Feb 2019,-1,0.0
purwarupa sistem pemantau suhu kelembaban berbasis xbee sensor network arduino uno,"Mario Kitsda M Rumlawang, Wijaya Kurniawan, Rizal Maulana",28 Feb 2019,-1,0.0
sistem aplikasi pelayanan administrasi desa berbasis web fitur notifikasi sms gateway studi desa pelangwot,"Anton Firdaus, Nurudin Santosa, Faizatul Amalia",28 Feb 2019,44,0.44492237802373086
monitoring kondisi aliran goronggorong saluran air metode fuzzy,"Moch. Alfian Zainullah, Dahnial Syauqy, Mochammad Hannats Hanafi Ichsan",28 Feb 2019,65,1.0
wireless sensor network mengunakan babel routing protokol,"Muhammad Rosyid Khulafa, Sabriansyah Rizqika Akbar, Gembong Edhi Setyawan",28 Feb 2019,7,1.0
bangun sistem pemilah tomat berdasarkan tingkat kematangan,"Lb Novendita Ariadana, Dahnial Syauqy, Tibyani Tibyani",28 Feb 2019,-1,0.0
sistem aplikasi rekam medis elektronik pendaftaran pasien online berbasis web studi klinik medis elisa malang,"Clara Pusparani, Bayu Priyambadha, Achmad Arwan",28 Feb 2019,2,1.0
kemacetan lintas kota malang media twitter metode neighbor weighted knearest neighbor nwknn,"Putu Amelia Vennanda Widyaswari, Indriati Indriati, Rizal Setya Perdana",28 Feb 2019,5,0.7925030015330832
sistem sensor aktuator real time tanaman jamur,"M. Sandy Anshori, Sabriansyah Rizqika Akbar, Rizal Maulana",28 Feb 2019,-1,0.0
error detection system komunikasi serial arduino metode cyclic redundancy check crc,"Reynald Novaldi, Sabriansyah Rizqika Akbar, Rakhmadhany Primananda",28 Feb 2019,-1,0.0
protokol zigbee wireless sensor network,"Jefri Muhrimansyah, Rakhmadhany Primananda, Kasyful Amron",28 Feb 2019,7,0.7369371079033795
game edukasi mobile augmented reality membantu pembelajaran anak membaca menulis berhitung,"Billawal Nadipa Pelealu, Tri Afirianto, Wibisono Sukmo Wardhono",28 Feb 2019,8,0.6762212295977144
implementasi manajemen antrian wred menghindari congestion lrwpan,"Andi Mohammad Thareq Akbar, Primantara Hari Trisnawan, Reza Andria Siregar",28 Feb 2019,-1,0.0
pemilah telur ayam kampung ayam negeri metode naive bayes,"Hazal Kurniawan Putra, Dahnial Syauqy, Tibyani Tibyani",28 Feb 2019,52,1.0
knearest neighbor klasifikasi ekspresi wajah berdasarkan data muscle sensor berbasis arduino,"Aprilo Paskalis Polii, Hurriyatul Fitriyah, Issa Arwani",28 Feb 2019,18,0.8602178647332819
resep masakan berdasarkan ketersediaan bahan masakan metode ngram cosine similarity,"Ratna Tri Utami, Yuita Arum Sari, Indriati Indriati",28 Feb 2019,-1,0.0
penyimpanan data persisten docker swarm network file system nfs,"Andreas Frederius, Mahendra Data, Widhi Yahya",28 Feb 2019,11,0.05453547626131445
kualitas kesuksesan sistem informasi batu among tani teknologi batt pendekatan technology acceptance model tam delone mclean,"Arrofiq Budi Al Fajri, Admaja Dwi Herlambang, Satrio Hadi Wijoyo",28 Feb 2019,28,0.6004619461965185
metode template matching mengenali nilai angka citra uang kertas dipindai,"Muria Naharul Hudan Najihul Ulum, Tibyani Tibyani, Sigit Adinugroho",28 Feb 2019,-1,0.0
sistem informasi penanganan keluhan warga desa berbasis web studi pemerintah desa suwayuwo,"Muhammad Ikhlas Dermawan, Ismiarta Aknuranda, Widhy Hayuhardhika Nugraha Putra",28 Feb 2019,44,1.0
diagnosis penyakit kelinci metode fuzzy tsukamoto,"Gustian Ri'pi, Nurul Hidayat, Marji Marji",28 Feb 2019,99,1.0
komposisi makanan keluarga penderita diabetes melitus algoritme genetika,"Azmi Makarima Yattaqillah, Imam Cholissodin, Budi Darma Setiawan",28 Feb 2019,31,1.0
algoritme genetika optimasi komposisi gizi menu makanan penderita stroke hemoragik,"Sofi Hidyah Anggraini, Imam Cholissodin, Bayu Rahayudi",28 Feb 2019,31,1.0
dashboard produksi ptpn xii persero kantor wilayah iii gunung gambir berbasis web,"Sofyan Syahri Huzaini, Bayu Priyambadha, Denny Sagita Rusdianto",28 Feb 2019,-1,0.0
pemberian kredit pemilikan rumah kpr nasabah bank metode ahp topsis studi pt bank negara indonesia tbk,"Andriko Hedi Prasetyo, Imam Cholissodin, Edy Santoso",28 Feb 2019,-1,0.0
aplikasi penjualan pelayanan pelanggan pt mega abadi motorindo,"Putra Firman Ardiansyah, Denny Sagita Rusdianto, Lutfi Fanani",28 Feb 2019,95,0.669492361747617
naive bayes weighted product rekomendasi hotel terbaik berwisata bali,"Galih Aulia Rahmadanu, Edy Santoso, Sutrisno Sutrisno",28 Feb 2019,-1,0.0
kualitas perangkat lunak isoiec quality in use studi filkom apps,"Victor Axelius Kristianto Siren, Nanang Yudi Setiawan, Retno Indah Rokhmawati",28 Feb 2019,0,1.0
rekomendasi perbaikan jalan makassar metode ahptopsis,"Andi Amaliyah Maryama, Nurul Hidayat, Sutrisno Sutrisno",28 Feb 2019,-1,0.0
perangkat mobile publisher subscriber perantara pengiriman data sensor lapangan pusat data,"Sukma Alamsyah Budianto, Adhitya Bhawiyuga, Dany Primanita Kartikasari",28 Feb 2019,-1,0.0
kinerja openflow switch aruba,"Zefanya Hermanta, Widhi Yahya, Achmad Basuki",28 Feb 2019,-1,0.0
sistem perantara pengiriman data modul komunikasi lora protokol mqtt wireless sensor network,"Haidar Arijuddin, Adhitya Bhawiyuga, Kasyful Amron",28 Feb 2019,7,0.652242334241227
user experience game pubg mobile metode cognitive walkthrough,"Revianda Amrullah Akbar, Hanifah Muslimah Az-Zahra, Komang Candra Brata",28 Feb 2019,72,1.0
metode klasifikasi support vector machine svm pemakaian minyak goreng,"Muhammad Yusuf Ramadan, Dahnial Syauqy, Tibyani Tibyani",28 Feb 2019,9,1.0
perbaikan proses bisnis business process improvement bpi studi divisi ppid komisi pemilihan kota malang,"Sheila Maulidia, Nanang Yudi Setiawan, Niken Hendrakusma Wardani",28 Feb 2019,16,0.6110810765708162
kualitas konten website republika online berdasarkan metode global quality evaluation,"Fitri Yanti Br Ginting, Yusi Tyroni Mursityo, Admaja Dwi Herlambang",28 Feb 2019,26,0.42107715096287085
metode klasifikasi bayes penentuan keaslian madu lebah berbasis embedded system,"Ardiansyah Ardiansyah, Dahnial Syauqy, Tibyani Tibyani",28 Feb 2019,-1,0.0
keamanan informasi berdasarkan analisis risiko teknologi informasi metode octave iso studi bidang it kepolisian daerah banten,"Fadzri Ahdi Anshori, Suprapto Suprapto, Andi Reza Perdanakusuma",28 Feb 2019,82,0.5246789935803019
sistem informasi pemesanan produk pt temprina media grafika zachman framework,"Hilwa Aminatus Sholihah, Yusi Tyroni Mursityo, Nanang Yudi Setiawan",28 Feb 2019,40,0.9893174857369824
aplikasi elearning menerapkan metode gamification,"Irwan Suprianto, Fajar Pradana, Fitra Abdurrachman Bachtiar",28 Feb 2019,-1,0.0
perancangan user interface meningkatkan user experience metode humancentered design heuristic evaluation aplikasi ezyschool,"Ikrima Nuha Arifin, Herman Tolle, Retno Indah Rokhmawati",28 Feb 2019,-1,0.0
perancangan user interface meningkatkan user experience metode humancentered design heuristic evaluation aplikasi ezypos,"Anita Putri Novitasari, Herman Tolle, Hanifah Muslimah Az-Zahra",28 Feb 2019,-1,0.0
aplikasi pembelajaran pengucapan bahasa inggris berbasis android automatic speech recognizer asr,"Mohammad Chaliffilardhy Syaifuddin, Agi Putra Kharisma, Muhammad Aminul Akbar",28 Feb 2019,112,1.0
bangun gps back track rekaman rute pendakian sistem embedded,"Agung Prasetyo, Dahnial Syauqy, Wijaya Kurniawan",28 Feb 2019,-1,0.0
aplikasi web pengelolaan alokasi dana desa model prototyping,"Erfina Latuconsina, Bayu Priyambadha, Herman Tolle",28 Feb 2019,-1,0.0
sistem pengelolaan studi fakultas ilmu komputer universitas brawijaya,"Abul A'la Alghifari, Bayu Priyambadha, Fajar Pradana",28 Feb 2019,13,0.8878986896391781
perbaikan proses bisnis business process improvement bpi studi bidang komunikasi dinas komunikasi informatika kota batu,"Theresia Emiliana Boleng, Nanang Yudi Setiawan, Retno Indah Rokhmawati",28 Feb 2019,16,0.4606144573257002
fault tolerant system nmodular hardware redundancy,"Khurinika Cahyaning Susanty, Wijaya Kurniawan, Gembong Edhi Setyawan",28 Feb 2019,-1,0.0
sistem informasi manajemen gudang pt inti karsa banten metode zachman framework,"Sarah Rachmi Indahsari, Yusi Tyroni Mursityo, Welly Purnomo",28 Feb 2019,40,1.0
algoritme finite state machine berbasis fragment shader proses pengambilan keputusan non player character studi game battle tank,"Muhtadin Ziqi Maulana, Eriq Muh. Adams Jonemaro, Muhammad Aminul Akbar",28 Feb 2019,93,1.0
sistem layanan pengajuan surat warga kelurahan sukun kota malang,"Rizky Aditya Arifin, Denny Sagita Rusdianto, Adam Hendra Brata",28 Feb 2019,44,0.7067421646881672
alexa voice command pembacaan informasi sensor rumah pintar,"Romario Siregar, Sabriansyah Rizqika Akbar, Rizal Maulana",28 Feb 2019,-1,0.0
sistem informasi manajemen akademik sekolah dasar pendaftaran pendataan ulang siswa studi sekolah dasar negeri dinoyo malang,"Nyoman Puja Satria Wibawa, Ismiarta Aknuranda, Satrio Agung Wicaksono",28 Feb 2019,21,1.0
perancangan data warehouse pendekatan mixeddriven studi dinas komunikasi informatika kabupaten sidoarjo,"Qomarul Umam, Satrio Agung Wicaksono, Welly Purnomo",28 Feb 2019,6,0.6672148450305554
metode learning vector quantization klasifikasi penyakit demam,"Nurhidayati Desiani, Lailil Muflikhah, Candra Dewi",28 Feb 2019,46,0.7431140539927038
perbaikan tampilan website taman rekreasi sengkaling umm metode human centered design hcd,"Ahmad Isa Hambali, Admaja Dwi Herlambang, Hanifah Muslimah Az-Zahra",28 Feb 2019,20,1.0
sidik jari balita metode zone based linear binary pattern extreme learning machine,"Dea Valentina, Yuita Arum Sari, Rendi Cahya Wihandika",28 Feb 2019,15,0.8076533076800031
kendaraan roda mendukung keamanan berkendara histogram of oriented gradients support vector machine berbasis raspberry pi,"Intan Fatmawati, Fitri Utaminingrum, Wijaya Kurniawan",28 Feb 2019,122,1.0
expansion line today algoritme idedechi ideregular,"Nana Nofiana, Indriati Indriati, Rizal Setya Perdana",28 Feb 2019,64,0.33455434773877796
metode exponential smoothing prediksi bobot kargo bulanan bandara internasional i gusti ngurah rai,"Amaliah Gusfadilah, Budi Darma Setiawan, Bayu Rahayudi",28 Feb 2019,79,0.9161335563095405
bangun view controller sensor akselerometer game bus simulator sarana user experience ux berbasis sistem embedded,"Bukhori Darmawan, Dahnial Syauqy, Mochammad Hannats Hanafi Ichsan",28 Feb 2019,8,0.3951854485705746
fitur information gain klasifikasi citra makanan hue saturation value gray level cooccurrence matrix,"Frisma Yessy Nabella, Yuita Arum Sari, Randy Cahya Wihandika",28 Feb 2019,14,1.0
resep makanan berdasarkan citra makanan ekstraksi fitur simple morphological shape descriptors color moment,"Tri Rahayuni, Yuita Arum Sari, Sigit Adinugroho",28 Feb 2019,14,1.0
deteksi penyimpanan daging ayam berdasarkan warna kadar amonia berbasis sensor tcs mq metode jaringan syaraf tiruan,"M. Adib Fauzi Rahmana, Dahnial Syauqy, Tibyani Tibyani",28 Feb 2019,89,0.860571584502102
fitur information gain klasifikasi citra makanan ekstraksi fitur haralick yuv color moment,"Devinta Setyaningtyas Atmaja, Yuita Arum Sari, Randy Cahya Wihandika",28 Feb 2019,14,0.9163966363241741
deteksi gejala hipoksia berdasarkan saturasi oksigen detak jantung metode fuzzy berbasis arduino,"Dian Bagus Setyo Budi, Rizal Maulana, Hurriyatul Fitriyah",28 Feb 2019,23,0.5265721679057852
kecepatan putaran motor smart wheelchair meredam getaran jalan bergelombang metode pid,"Ganda Wibawa Putra, Dahnial Syauqy, Wijaya Kurniawan",28 Feb 2019,37,0.14348672258399225
uji usability aplikasi pemilu legislatif kota tangerang selatan metode prototyping berbasis android,"Syifa Shabrina Siregar, Agi Putra Kharisma, Hanifah Muslimah Az-Zahra",28 Feb 2019,102,0.9288848477429263
gabungan metode kmeans learning vector quantization lvq klasifikasi fungsi senyawa aktif data smiles,"Nur Khilmiyatul Ilmiyah, Dian Eka Ratnawati, Syaiful Anam",28 Feb 2019,46,0.13356532967067533
backpropagation klasifikasi fungsi senyawa aktif berdasarkan notasi smiles simplified molecular input line entry system,"Nyimas Ayu Widi Indriana, Dian Eka Ratnawati, Syaiful Anam",28 Feb 2019,46,0.04426231536639761
jaringan saraf tiruan lvq backpropagation deteksi penyakit jantung koroner,"Mohammad Setya Adi Fauzi, Bayu Rahayudi, Candra Dewi",28 Feb 2019,75,1.0
kesuksesan implementasi sistem open public access catalog delone and mclean model perpustakaan universitas brawijaya,"Alpia Pentidari, Aditya Rachmadi, Admaja Dwi Herlambang",28 Feb 2019,80,1.0
proses bisnis business process improvement badan pusat statistik kabupaten kediri,"Claudio Canigia Guntara, Nanang Yudi Setiawan, Ismiarta Aknuranda",28 Feb 2019,16,0.8996993782137672
pelanggan metode fuzzy cmeans clustering berdasarkan lrfm model toko sepatu studi ride inc kota malang,"Muhammad Taufik Dharmawan, Nanang Yudi Setiawan, Fitra Abdurrachman Bachtiar",28 Feb 2019,51,0.3014288131635143
segmentasi pelanggan rfm model pt arthamas citra mandiri metode fuzzy cmeans clustering,"Wiratama Ahsani Taqwim, Nanang Yudi Setiawan, Fitra Abdurrachman Bachtiar",28 Feb 2019,51,0.3964917213967584
sistem pengelolaan data nilai siswa berdasarkan presensi berbasis web fitur sms gateway studi sd negeri liprak kidul,"Muhammad Sodiq, Tri Astoto Kurniawan",28 Feb 2019,21,0.475256956733545
kinerja protokol routing ad hoc on demand distance vector aodv jaringan vehicular ad hoc network vanet berdasarkan variasi model jalan,"Dedy Andrean Ardiansyah, Rakhmadhany Primananda, Adhitya Bhawiyuga",28 Feb 2019,41,1.0
kerangka kerja cobit domain acquire and implement ai tata kelola teknologi informasi studi dinas komunikasi informatika kota bukittinggi,"Fandy Adityo, Suprapto Suprapto, Admaja Dwi Herlambang",28 Feb 2019,6,1.0
kesuksesan implementasi sistem pelaporan nilai sekolah menengah expectationconfirmation model delone mclean,"David Tria Utama, Admaja Dwi Herlambang, Himawat Aryadita",28 Feb 2019,10,0.5443397789008704
algoritme fifo pie red quality of service wireless local area network,"Rayza Arfian, Primantara Hari Trisnawan, Kasyful Amron",28 Feb 2019,59,0.7592556731761189
sistem real time peringatan kebakaran terminal listrik rumah tangga,"Muhamad Irfanul Hadi, Sabriansyah Rizqika Akbar, Rizal Maulana",28 Feb 2019,-1,0.0
sistem informasi keuangan pegawai biro organisasi sekretariat daerah provinsi jawa timur,"Luluk Mukarromah, Fajar Pradana, Mochamad Chandra Saputra",28 Feb 2019,-1,0.0
perbandingan kinerja routing protokol isis routing protokol eigrp dynamic routing,"Egi Muliandri, Primantara Hari Trisnawan, Kasyful Amron",28 Feb 2019,59,1.0
sistem informasi pengelolaan nilai siswa metode human centered design studi smp negeri gondanglegi,"Ahmad Maula Rifqi, Yusi Tyroni Mursityo, Hanifah Muslimah Az-Zahra",28 Feb 2019,-1,0.0
faktor minat beli social commerce kepercayaan followers pemasaran produk media sosial facebook hijup,"Suanggra Lilik Purwanti, Yusi Tyroni Mursityo, Aditya Rachmadi",28 Feb 2019,57,1.0
sistem informasi kegiatan unit pelaksana teknis pelatihan teknis perikanan budidaya pengolahan produk kelautan perikanan kepanjen metode rational unified process,"Muhamad Yogi Saka F, Yusi Tyroni Mursityo, Fajar Pradana",28 Feb 2019,-1,0.0
pendeteksi penyakit diabetes melitus tingkat dehidrasi berdasarkan kondisi urin metode jaringan saraf tiruan berbasis aplikasi android,"Lamidi Lamidi, Rizal Maulana, Wijaya Kurniawan",28 Feb 2019,98,1.0
tingkat kapabilitas proses akuisisi pengembangan sistem informasi cmmi for acquisition cmmiacq versi studi dinas komunikasi informatika kabupaten tulungagung,"Ulya Nuzulir Rohmah, Aditya Rachmadi, Andi Reza Perdanakusuma",28 Feb 2019,68,0.05334107809298848
penghitung orang melewati pintu metode background subtraction berbasis raspberry pi,"Diego Yanda Setiawan, Hurriyatul Fitriyah, Issa Arwani",28 Feb 2019,-1,0.0
klasifikasi jenis karat metode decision tree berbasis raspberry pi,"Denis Andi Setiawan, Hurriyatul Fitriyah, Wijaya Kurniawan",28 Feb 2019,-1,0.0
sistem informasi akademik sekolah dasar islam terpadu insantama sdit malang berbasis website,"Andra Pargiyani, Bayu Priyambadha, Achmad Arwan",28 Feb 2019,36,0.32844406385265434
protokol upnp perangkat smart home berbasis esp,"Imam Syafi'i Al Ghozaly, Sabriansyah Rizqika Akbar, Rizal Maulana",28 Feb 2019,-1,0.0
sistem gateway discovery wireless sensor network wsn berbasis modul komunikasi lora,"Alfian Rizky Susanto, Adhitya Bhawiyuga, Kasyful Amron",28 Feb 2019,7,1.0
user experience game augmented reality sub projection mapping wall climbing heuristic playbility play studi wahana jawa timur park,"Aryo Seto Dwisaputra, Retno Indah Rokhmawati, Muhammad Aminul Akbar",28 Feb 2019,8,0.7576757127806303
tingkat pemahaman siswa materi pelajaran bahasa indonesia naive bayes seleksi fitur information gain,"Siti Utami Fhylayli, Budi Darma Setiawan, Sutrisno Sutrisno",31 Mar 2019,-1,0.0
sistem pelaporan pemeliharaan stasiun onlimo online monitoring milik bppt badan pengkajian penerapan teknologi berbasis android,"Ferlie Deanada Effendi, Herman Tolle, Komang Candra Brata",31 Mar 2019,-1,0.0
kakas bantu mengukur maintainability index perangkat lunak berdasarkan nilai halstead metrics mccabes cyclomatic complexityenglish,"Rasio Ganang Atmaja, Bayu Priyambadha, Fajar Pradana",31 Mar 2019,0,1.0
dokumen sambat online metode naive bayes seleksi fitur berbasis algoritme genetika,"Tony Faqih Prayogi, Imam Cholissodin, Edy Santoso",31 Mar 2019,-1,0.0
pengidap kanker payudara metode voting based extreme learning machine velm,"Dheby Tata Artha, Sigit Adinugroho, Putra Pandu Adikara",31 Mar 2019,15,1.0
sistem pelaporan kerusakan jalan otomatis berbasis sistem embedded,"Hanif Irfan Syah, Fajar Pradana, Bayu Priyambadha",31 Mar 2019,67,1.0
kelulusan mahasiswa berdasarkan kinerja akademik pendekatan data mining program studi sistem informasi fakultas ilmu komputer universitas brawijaya,"Ryan Dwi Pambudi, Ahmad Afif Supianto, Nanang Yudi Setiawan",31 Mar 2019,-1,0.0
sistem akuisisi data sensor pertanian protokol komunikasi lora,"Richad Gilang Wisduanto, Adhitya Bhawiyuga, Dany Primanita Kartikasari",31 Mar 2019,-1,0.0
teks deteksi kejadian dokumen twitter berbahasa indonesia metode affinity propagation,"Rezky Dermawan, Fitra A. Bachtiar, Putra Pandu Adikara",31 Mar 2019,5,0.7929398370566113
sinyal otak motor imagery extreme learning machine discrete fourier transform,"Fransiskus Cahyadi Putra Pranoto, Agus Wahyu Widodo, Muhammad Arif Rahman",31 Mar 2019,86,0.8890623698832931
sistem informasi perpustakaan berbasis web perpustakaan kecamatan bungah,"Nurur Rohmah, Himawat Aryadita, Adam Hendra Brata",31 Mar 2019,80,1.0
usability aplikasi krl access metode evaluasi heuristik,"Venzy Pertiwi, Ismiarta Aknuranda, Satrio Hadi Wijaya",31 Mar 2019,0,1.0
sistem pengelolaan acara pendekatan gamification,"Ericko Wicaksono, Bayu Priyambadha, Fajar Pradana",31 Mar 2019,-1,0.0
penggunaan ganja metode radial basis function neural network rbfnn,"Sukma Fardhia Anggraini, Sigit Adinugroho, Randy Cahya Wihandika",31 Mar 2019,47,0.8580462086559983
citra makanan ekstraksi fitur gray level cooccurrence matrix cie lab color moments pencarian resep masakan,"Ahmad Fauzi Ahsani, Yuita Arum Sari, Putra Pandu Adikara",31 Mar 2019,14,1.0
usability antarmuka pengguna aplikasi pln mobile metode evaluasi heuristik,"Putri Ayu Lestari, Ismiarta Aknuranda, Admaja Dwi Herlambang",31 Mar 2019,0,1.0
sistem informasi praktik pengalaman lapangan ppl berbasis android studi fakultas ilmu komputer universitas brawijaya,"Rizky Wahyu Setiawan, Satrio Agung Wicaksono, Admaja Dwi Herlambang",31 Mar 2019,22,0.9149585588963307
sistem informasi penyambungan listrik khusus pelanggan getting electricity berbasis web ptpln persero distribusi jawa timur area gresik,"Mahda Dina Alam Rusbandi, Ismiarta Aknuranda, Djoko Pramono",31 Mar 2019,-1,0.0
sistem pengelolaan pendistribusian dana bantuan sekolah studi dinas pendidikan kebudayaan kota serang,"Birald Muhammad Dayan, Bayu Priyambadha, Denny Sagita Rusdianto",31 Mar 2019,21,0.6019619226442561
multilabel otomatis artikel algoritme fuzzy cmeans knearest neighbor,"Muhammad Bima Zehansyah, Yuita Arum Sari, Sigit Adi Nugroho",31 Mar 2019,-1,0.0
aplikasi perangkat bergerak berbasis android survei kepuasan masyarakat metode mobiled studi rsud ngudi waluyo wlingi kabupaten blitar,"Martantio Wicaksono, Agi Putra Kharisma, Lutfi Fanani",31 Mar 2019,-1,0.0
aplikasi access information support system berbasis android studi unit data access management inventory telkom regional,"Ach Iqro Dakwahaningrat, Adam Hendra Brata, Lutfi Fanani",31 Mar 2019,88,1.0
aplikasi native pelaporan kerusakan jalan platform ios,"Alfin Taufiqurrahman, Fajar Pradana, Fitra Abdurrachman Bachtiar",31 Mar 2019,24,0.6872757637193042
user experience mecue questionnaire studi aplikasi traveloka pegipegi,"Ricco Anjasmara Putra Pratama, Hanifah Muslimah Az-Zahra, Satrio Hadi Wijoyo",31 Mar 2019,19,1.0
kualitas website pemerintah daerah webqual importance performance analysis ipa studi dinas kebudayaan pariwisata kabupaten pasuruan,"Ilham Febi Muzacki, Andi Reza Perdanakusuma, Aditya Rachmadi",31 Mar 2019,26,0.42972451914668836
kualitas layanan website metode webqual importance and performance analysis ipa upt perpustakaan proklamator karno,"Harry Bali Kusuma, Suprapto Suprapto, Hanifah Muslimah Az-Zahra",31 Mar 2019,26,0.4924196129990805
sistem kendali kecepatan kursi roda elektrik kendali proporsional kondisi jalan menanjak menurun,"Achmad Fanani Kurniawan Saputra, Dahnial Syauqy, Issa Arwani",31 Mar 2019,37,0.08827168315267257
aplikasi voice call management kontak berbasis suara pengguna tuna netra,"Guidita Suryani, Herman Tolle, Tri Afirianto",31 Mar 2019,112,1.0
citra makanan algoritme learning vector quantization berdasarkan ekstraksi fitur color histogram gray level cooccurrence matrix,"Sarah Yuli Evangelista Simarmata, Yuita Arum Sari, Sigit Adinugroho",31 Mar 2019,14,0.9328691487308196
sistem informasi reservasi cv dwi artha indah samarinda metode rational unified process,"Andhika Akbar Saputra, Yusi Tyroni Mursityo, Nanang Yudi Setiawan",31 Mar 2019,-1,0.0
sistem informasi pencatatan pengujian relay proteksi subunit basecamp pt pln persero transmisi jawa timur bali metode waterfall,"Shiella Regina Febriyanisa, Ismiarta Aknuranda, Yusi Tyroni Mursityo",31 Mar 2019,-1,0.0
jenis makanan citra smartphone berdasarkan ekstraksi fitur haralick cie lab color moment learning vector quantization,"Akhmad Muzanni Safi'i, Yuita Arum Sari, Sigit Adinugroho",31 Mar 2019,14,1.0
algoritme extreme learning machine elm prediksi harga emas investor,"Laila Restu Setiya Wati, Imam Cholissodin, Putra Pandu Adikara",31 Mar 2019,15,1.0
jenis citra makanan tunggal berdasarkan fitur local binary patterns hue saturation value improved knearest neighbor,"Sarah Najla Adha, Yuita Arum Sari, Randy Cahya Wihandika",31 Mar 2019,14,0.809924895124512
board game edukasi teknologi augmented reality studi permainan ular tangga,"Mikhanael Mual Parsaulian Simanjuntak, Tri Afirianto, Wibisono Sukmo Wardhono",31 Mar 2019,8,0.700467788325537
teks bahasa indonesia dokumen pengaduan sambat online metode naive bayes kombinasi seleksi fitur,"Hilmy Khairi Idris, Mochammad Ali Fauzi, Indriati Indriati",31 Mar 2019,-1,0.0
ujaran kebencian twitter metode naive bayes berbasis ngram seleksi fitur information gain,"Muhammad Hakiem, Mochammad Ali Fauzi, Indriati Indriati",31 Mar 2019,5,1.0
sistem informasi monitoring evaluasi hasil kegiatan pengawas berbasis web studi dinas pendidikan kota malang,"Aulia Fitri Rahmawati, Herman Tolle, Retno Indah Rokhmawati",31 Mar 2019,-1,0.0
algoritme mapping backtracking mobile robot maze,"Fikri Fauzan, Dahnial Syauqy, Rizal Maulana",31 Mar 2019,-1,0.0
webgis menentukan jalur aman kriminal kota malang algoritme bellmanford,"Cendy Nelasari, Fatwa Ramdani, Welly Purnomo",31 Mar 2019,82,0.8878310131254645
kematangan buah pisang berbasis sensor warna sensor load cell metode naive bayes,"Mohammad Faizal Ajizi, Dahnial Syauqy, Mochammad Hannats Hanafi Ichsan",31 Mar 2019,-1,0.0
penerimaan pengguna elearning fakultas ilmu komputer model unified theory of acceptance and use of technology utaut task technology fit ttf,"Qori' Ima Ma'rifatin, Yusi Tyroni Mursityo, Mochamad Chandra Saputra",31 Mar 2019,28,1.0
sistem informasi penggajian tugu hotel lombok metode rational unified process,"Anas Zulbichaq, Yusi Tyroni Mursityo, Mochamad Chandra Saputra",31 Mar 2019,-1,0.0
proses bisnis pembangunan base transceiver station bts business process improvement studi badan aksesibilitas telekomunikasi informasi kominfo,"Salsabilla Syafta, Ismiarta Aknuranda, Nanang Yudi Setiawan",31 Mar 2019,16,0.12220419272469707
sistem informasi roadbook program tur perjalanan wisata berbasis web metode rup rational unified process pt quest travel indonesia,"I Gede Wiwekananda, Yusi Tyroni Mursityo, Djoko Pramono",31 Mar 2019,39,1.0
fitur information gain temu citra jenis makanan dominant color descriptor gray level cooccurence matrix,"Sulaiman Triarjo, Yuita Arum Sari, Sigit Adinugroho",31 Mar 2019,14,1.0
arsitektur publish and subscribe alat monitoring suhu kelembaban kandang ular python regius nodemcu esp,"Habib Zainal Sarif, Mochammad Hannats Hanafi Ichsan, Rizal Maulana",31 Mar 2019,-1,0.0
peramalan metode backpropagation algoritme genetika penumpang kereta api indonesia,"Mohammad Birky Auliya Akbar, Indriati Indriati, Ahmad Afif Supianto",31 Mar 2019,129,1.0
proses complain website qoocoid usability testing compatibility behavioural,"Galih Prakoso, Hanifah Muslimah Az-Zahra, Aditya Rachmadi",31 Mar 2019,0,0.8781151358236339
