Judul,Penulis,Tahun,topics,probabilities
aplikasi mobile augmented reality rehabilitasi terkilir pergelangan kaki,"Muhammad Indra Harjunada, Issa Arwani, Marji Marji",30 Apr 2017,8,0.8671585603319693
literatur ilmu komputer bahasa indonesia berbasis fitur statistik linguistik metode gaussian naive bayes,"Muhammad Fhadli, Mochammad Ali Fauzi, Tri Afirianto",30 Apr 2017,54,0.25909100547157277
pakar klasifikasi permasalahan berdasar aum fcmfis tsukamoto,"Ainun Najib Eka Christianto, Rekyan Regasari Mardi Putri, Agus Wahyu Widodo",30 Apr 2017,40,0.9343387285204375
gabungan metode bayesian backpropagation peramalan pengangguran terbuka indonesia,"Yure Firdaus Arifin, Dian Eka Ratnawati, Putra Pandu Adikara",30 Apr 2017,129,1.0
pengangguran terbuka indonesia metode geneticbased backpropagation,"Dyva Pandhu Adwandha, Dian Eka Ratnawati, Putra Pandu Adikara",30 Apr 2017,129,1.0
siswa berprestasi metode knearest neighbor weighted product studi smp negeri mejayan,"Jodi Irjaya Kartika, Edy Santoso, Sutrisno Sutrisno",31 May 2017,10,1.0
pendeteksi pencemaran udara ambien kawasan lumpur lapindo logika fuzzy,"Reza Hastuti, Edita Rosana Widasari, Barlian Henryranu Prasetio",31 May 2017,62,1.0
penyakit tanaman jarak pagar metode fuzzy knearest neighbor fknn,"Eva Agustina Ompusunggu, Dian Eka Ratnawati, Lailil Muflikhah",31 May 2017,1,0.8725962773031756
metode knearest neighbor knn metode weighted product wp penerimaan calon guru karyawan tata usaha berwawasan teknologi studi sekolah menengah kejuruan muhammadiyah kediri,"Nihru Nafi' Dzikrulloh, Indriati Indriati, Budi Darma Setiawan",31 May 2017,10,0.6295157793573688
sistem kontrol monitoring ph tanaman kentang aeroponik wireless,"Andrika Wahyu Wicaksono, Edita Rosana Widasari, Fitri Utaminingrum",31 May 2017,-1,0.0
sistem pakar diagnosis penyakit tanaman apel metode backward chaining certainty factor,"Muhammad Burhannudin, Suprapto Suprapto, Nurul Hidayat",31 May 2017,1,1.0
tweets twitter metode fuzzy knearest neighbour fuzzy knn query expansion berbasis apriori,"Joda Pahlawan Romadhona Tanjung, Mochammad Ali Fauzi, Indriati Indriati",31 May 2017,5,0.8627410565611512
pengendali rumah smartphone android konektivitas bluetooth,"Angger Dimas Bayu Sadewo, Edita Rosana Widasari, Adharul Muttaqin",31 May 2017,53,0.4430919336948524
pakar diagnosis penyakit demam dbd malaria tifoid metode knearest neighbor certainty factor,"Elsa Nuramilus Shofia, Rekyan Regasari Mardi Putri, Achmad Arwan",31 May 2017,1,0.7884390356306941
