Judul,Penulis,Tahun
tepi danau citra satelit metode canny,"Koko Pradityo, Budi Darma Setiawan, Randy Cahya Wihandika",31 Mar 2017
sistem pemetaan ruangan dimensi sensor ultrasonik,"Ricky Prasetya Santoso, Wijaya Kurniawan, Gembong Edhi Setyawan",31 Mar 2017
perbandingan penetration testing tool aplikasi web,"Bhaskara Vito Tarigan, Ari Kusyanti, Widhi Yahya",31 Mar 2017
optimasi rute wisata kuliner malang algoritma bee colony,"Muhammad Arif Hermawan, Nurul Hidayat, Budi Darma Setiawan",31 Mar 2017
mobile augmented reality aplikasi pemilihan sarana prasarana laboratorium sekolah menengah,"Dimas Setyo Utomo, Issa Arwani, Wibisono Sukmo Wardhono",31 Mar 2017
bangun sistem sortir buah apel sensor warna sensor suhu,"Mohammad Fauzin Amin, Sabriansyah Rizqika Akbar, Edita Rosana Widasari",31 Mar 2017
autisme anak metode modified knearest neighbor mknn,"Zahra Swastika Putri, Rekyan Regasari Mardi Putri, Indriati Indriati",31 Mar 2017
penjadwalan perkuliahan hybrid discrete particle swarm optimization studi ptiik universitas brawijaya,"Muhammad Syafiq, Imam Cholissodin, Himawat Aryadita",30 Apr 2017
algoritma genetika optimasi multidimensional knapsack problem pendistribusian produk studi udtosa,"Ryan Iriany, Agus Wahyu Widodo, Wayan Firdaus Mahmudy",30 Apr 2017
komposisi makanan penderita diabetes melitus komplikasinya algoritma genetika,"Maryamah Maryamah, Rekyan Regasari Mardi Putri, Satrio Agung Wicaksono",30 Apr 2017
kendali palang pintu kereta api ir sensor nrfl,"Bagus Priyo Pangestu, Barlian Henryranu Prasetio, Gembong Edhi Setyawan",30 Apr 2017
monitoring suhu kelembaban pengendali penyiraman tanaman hidroponik blynk android,"Wahyu Adi Prayitno, Adharul Muttaqin, Dahnial Syauqy",30 Apr 2017
aplikasi mobile augmented reality rehabilitasi terkilir pergelangan kaki,"Muhammad Indra Harjunada, Issa Arwani, Marji Marji",30 Apr 2017
literatur ilmu komputer bahasa indonesia berbasis fitur statistik linguistik metode gaussian naive bayes,"Muhammad Fhadli, Mochammad Ali Fauzi, Tri Afirianto",30 Apr 2017
pakar klasifikasi permasalahan berdasar aum fcmfis tsukamoto,"Ainun Najib Eka Christianto, Rekyan Regasari Mardi Putri, Agus Wahyu Widodo",30 Apr 2017
gabungan metode bayesian backpropagation peramalan pengangguran terbuka indonesia,"Yure Firdaus Arifin, Dian Eka Ratnawati, Putra Pandu Adikara",30 Apr 2017
pengangguran terbuka indonesia metode geneticbased backpropagation,"Dyva Pandhu Adwandha, Dian Eka Ratnawati, Putra Pandu Adikara",30 Apr 2017
siswa berprestasi metode knearest neighbor weighted product studi smp negeri mejayan,"Jodi Irjaya Kartika, Edy Santoso, Sutrisno Sutrisno",31 May 2017
pendeteksi pencemaran udara ambien kawasan lumpur lapindo logika fuzzy,"Reza Hastuti, Edita Rosana Widasari, Barlian Henryranu Prasetio",31 May 2017
penyakit tanaman jarak pagar metode fuzzy knearest neighbor fknn,"Eva Agustina Ompusunggu, Dian Eka Ratnawati, Lailil Muflikhah",31 May 2017
metode knearest neighbor knn metode weighted product wp penerimaan calon guru karyawan tata usaha berwawasan teknologi studi sekolah menengah kejuruan muhammadiyah kediri,"Nihru Nafi' Dzikrulloh, Indriati Indriati, Budi Darma Setiawan",31 May 2017
sistem kontrol monitoring ph tanaman kentang aeroponik wireless,"Andrika Wahyu Wicaksono, Edita Rosana Widasari, Fitri Utaminingrum",31 May 2017
sistem pakar diagnosis penyakit tanaman apel metode backward chaining certainty factor,"Muhammad Burhannudin, Suprapto Suprapto, Nurul Hidayat",31 May 2017
tweets twitter metode fuzzy knearest neighbour fuzzy knn query expansion berbasis apriori,"Joda Pahlawan Romadhona Tanjung, Mochammad Ali Fauzi, Indriati Indriati",31 May 2017
pengendali rumah smartphone android konektivitas bluetooth,"Angger Dimas Bayu Sadewo, Edita Rosana Widasari, Adharul Muttaqin",31 May 2017
pakar diagnosis penyakit demam dbd malaria tifoid metode knearest neighbor certainty factor,"Elsa Nuramilus Shofia, Rekyan Regasari Mardi Putri, Achmad Arwan",31 May 2017
pendeteksi dehidrasi berdasarkan warna kadar amonia urin berbasis sensor tcs mq metode naive bayes,"Rint Zata Amani, Rizal Maulana, Dahnial Syauqy",31 May 2017
kendali berbasis mikrokontroler protokol mqtt smarthome,"Hudan Abdur Rochman, Rakhmadhany Primananda, Heru Nurwasito",30 Jun 2017
algoritma genetika penjadwalan customer service studi biro perjalanan kangoroo,"Chusnah Puteri Damayanti, Rekyan Regasari Mardi Putri, Mochammad Ali Fauzi",30 Jun 2017
pengiriman data sensor lm perbandingan insert basis data mysql mongodb,"Rangga Noviansyah Nuur Aziiz, Mochammad Hannats Hanafi Ichsan, Issa Arwani",30 Jun 2017
membership model fuzzy perubahan suhu inkubator penetas telur,"Dini Ismawati, Dahnial Syauqy, Barlian Henryranu Prasetio",30 Jun 2017
sistem monitoring listrik ruangan nodemcu mqtt,"Arief Kurniawan, Dahnial Syauqy, Barlian Henryranu Prasetio",30 Jun 2017
sensor akselerometer lengan manusia mengendalikan pergerakan lengan robot,"Achmad Rizal Zakaria, Wijaya Kurniawan, Dahnial Syauqy",30 Jun 2017
kesalahan ejaan penentuan rekomendasi koreksi dokumen jurnal jtiik dictionary lookup dameraulevenshtein distance,"Tusty Nadia Maghfira, Imam Cholissodin, Agus Wahyu Widodo",30 Jun 2017
penyakit diabetes mellitus metode modified knearest neighbor mknn,"Silvia Ikmalia Fernanda, Dian Eka Ratnawati, Putra Pandu Adikara",30 Jun 2017
penerimaan os windows unified theory of acceptance and use of technology utaut,"Mega Shero Gayatrie, Ari Kusyanti, Mochamad Chandra Saputra",30 Jun 2017
low power wireless sensor network pengukuran suhu berbasis nrf penjadwalan pengiriman data,"Ahmad Faris Adhnaufal, Sabriansyah Rizqika Akbar, Rakhmadhany Primananda",30 Jun 2017
penerimaan zakat metode support vector regression svr flower pollination algorithm fpa,"Tusiarti Handayani, Imam Cholissodin, Agus Wahyu Widodo",31 Jul 2017
wireless sensor network pemantauan kondisi struktur bangunan sensor accelerometer mma,"Era Imanningtyas, Sabriansyah Rizqika Akbar, Dahnial Syauqy",31 Jul 2017
