Judul,Penulis,Tahun
website forum united indonesia metode kansei engineering extended goal question metric meningkatkan user experience,"Mochammad Aldi Kushendriawan, Retno Indah Rokhmawati, Hanifah Muslimah Az-Zahra",30 Nov 2018
pemakaian air pt pembangkit jawa bali unit gresik extreme learning machine ant colony optimization,"Anim Rofi'ah, Imam Cholissodin, Candra Dewi",30 Nov 2018
metode extreme learning machine elm memprediksikan penjualan roti studi harum bakery,"Luqman Hakim Harum, Nurul Hidayat, Ratih Kartika Dewi",30 Nov 2018
implementasi perencanaan strategi sistem informasi administrasi kependudukan siak process assessment model cobit,"Sephia Aldiariza Hernandha, Admaja Dwi Herlambang, Aditya Rachmadi",30 Nov 2018
kepuasan pengguna audience insights model sosial strategis crm,"Tetuko Aldimas Setyawan Eka Pradana, Yusi Tyroni Mursityo, Retno Indah Rokhmawati",30 Nov 2018
maturitas manajemen layanan sistem informasi learning nsc application lensa framework itil versi domain service operation studi politeknik nsc surabaya,"Natasya Ekaputri, Yusi Tyroni Mursityo, Andi Reza Perdanakusuma",30 Nov 2018
desain interaksi mesin pencatat tunanetra fitur texttospeech berbasis raspberry pi,"Nafisa Nafisa, Hurriyatul Fitriyah, Issa Arwani",30 Nov 2018
pengelolaan transaksi toko perhiasan perak berbasis desktop studi toko perak beben banjarmasin,"Nadya Ramadana, Denny Sagita Rusdianto, Bayu Priyambadha",30 Nov 2018
deteksi koreksi error komunikasi serial arduino berbasis uart metode hamming code,"Anggi Fajar Andana, Sabriansyah Rizqika Akbar, Rizal Maulana",30 Nov 2018
swarm optimization optimasi bobot extreme learning machine memprediksi produksi gula kristal putih pabrik gula candi barusidoarjo,"Eka Yuni Darmayanti, Budi Darma Setiawan, Fitra Abdurrachman Bachtiar",30 Nov 2018
perbandingan algoritme kmeans isodata klasterisasi data kejadian titik api wilayah sumatera,"Edo Fadila Sirat, Budi Darma Setiawan, Fatwa Ramdani",30 Nov 2018
pengaruh koordinat lengan akurasi posisi metode inverse kinematics iterative,"Farid Aziz Shafari, Rizal Maulana, Wijaya Kurniawan",30 Nov 2018
low power mode sistem keamanan ignition coil breaker sepeda motor pengenalan sidik jari,"Belsazar Elgiborado Giovani Djoedir, Dahnial Syauqy, Hurriyatul Fitriyah",30 Nov 2018
low power sistem notifikasi gamer bermain intense berbasis embedded system,"Irfan Pratomo Putra, Dahnial Syauqy, Wijaya Kurniawan",30 Nov 2018
sistem informasi purchasing order berbasis web pt karya teknik mandiri,"Muhammad Agusalim Hariadi, Retno Indah Rokhmawati, Agi Putra Kharisma",30 Nov 2018
sistem rekam medis gigi berbasis web,"Nadia Kusuma Putri, Bayu Priyambadha, Denny Sagita Rusdianto",30 Nov 2018
perbaikan desain antarmuka pengguna metode humancentered design hcd webuse wcag researchbased web design usability guidelines importance performance analysis ipa studi pt showa indonesia mfg,"Rasyid Asis Perdana, Komang Candra Brata, Hanifah Muslimah Az-Zahra",30 Nov 2018
system otomatis lomba menembak target sillhouette hewan metode klasifikasi naive bayes,"Muhamad Taufiq Firmansyah, Rizal Maulana, Mochammad Hannats Hanafi Ichsan",30 Nov 2018
sistem survei kepuasan pengunjung upt pbj jawa timur metode servqual analisis importance performance matrix,"Ardyani Nalendri Styadi, Ismiarta Aknuranda, Fajar Pradana",30 Nov 2018
desain interaksi alat ukur berat menentukan status gizi bayi,"Erdano Sedya Dwiprasajawara, Mochammad Hannats Hanafi Ichsan, Hurriyatul Fitriyah",30 Nov 2018
metode fuzzy akuaponik deep water culture berdasarkan derajat keasaman ketinggian air,"Bagus Cakra Jati Kesuma, Tibyani Tibyani, Mochammad Hannats Hanafi Ichsan",30 Nov 2018
hasil produksi benih berdasarkan karakteristik tanaman kenaf metode backpropagation studi balai tanaman pemanis serat kota malang,"Davia Werdiastu, Dian Eka Ratnawati, Bayu Rahayudi",30 Nov 2018
biaya pengembangan sistem reservasi online gedung serbaguna pt ghl peninsula metode advance use case point revised use case point studi cv gumcode indonesia,"Savira Fahrunisa, Mochamad Chandra Saputra, Admaja Dwi Herlambang",30 Nov 2018
risiko gagal ginjal kronis extreme learning machine,"Dimas Prenky Dicky Irawan, Imam Cholisoddin, Edy Santoso",30 Nov 2018
alternatif simplisia nabati indikasi gangguan kesehatan metode analytical network process anp simple additive weighting saw,"Gessia Faradiksi Putri, Lailil Muflikhah, Sigit Adinugroho",30 Nov 2018
sistem pendeteksi premature ventricular contraction pvc aritmia metode naive bayes,"Gusti Arief Gilang, Rizal Maulana, Wijaya Kurniawan",30 Nov 2018
sensory immersion interactive agent control sistem pemasaran perumahan teknologi virtual reality,"Rizal Darmawansyah, Wibisono Sukmo Wardhono, Tri Afirianto",30 Nov 2018
bantu penilaian kopling metrik indirect package coupling based on responsibilty,"Muhammad Ridha Anshari, Fajar Pradana, Bayu Priyambadha",30 Nov 2018
aplikasi penilaian ujian skripsi berbasis android metode prototyping studi fakultas ilmu komputer universitas brawijaya malang,"Edwin Nurwansyah, Herman Tolle, Satrio Agung Wicaksono",30 Nov 2018
user experience aplikasi mobile ecommerce tapp market metode diary study user journey,"Muhammad Hanif, Hanifah Muslimah Az-Zahra, Yusi Tyroni Mursityo",30 Nov 2018
kendali navigasi ar drone berbasis pengenalan teks metode optical character recognition,"Haqqi Rizqi, Gembong Edhi Setyawan, Wijaya Kurniawan",30 Nov 2018
metode triangle geometry pengenalan arah pergerakan kepala,"Irnayanti Dwi Kusuma, Fitri Utaminingrum, Randy Cahya Wihandika",30 Nov 2018
portofolio saham optimal algoritme genetika terdistribusi,"Talitha Raissa, Agus Wahyu Widodo, Budi Darma Setiawan",30 Nov 2018
pengkondisian kipas lampu otomatis logika fuzzy,"Randy Maulana, Mochammad Hannats Hanafi Ichsan, Gembong Edhi Setyawan",30 Nov 2018
penyakit ikan koi metode naive bayes classifier,"Yudo Juni Hardiko, Nurul Hidayat, Imam Cholissodin",30 Nov 2018
sistem notifikasi darurat berbasis aplikasi mobile web arduino mega logika fuzzy,"Prayoga Febriandika, Wijaya Kurniawan, Agi Putra Kharisma",30 Nov 2018
tweet cyberbullying aplikasi twitter metode support vector machine svm information gain ig seleksi fitur,"Ni Made Gita Dwi Purnamasari, Mochammad Ali Fauzi, Indriati Indriati, Liana Shinta Dewi",30 Nov 2018
metode analitycal hierarchy processsimple additive weighting ahpsaw penentuan varietas padi unggul,"Dona Adittia, Nurul Hidayat, Fitra Abdurrachman Bachtiar",30 Nov 2018
perangkat lunak vapps aplikasi menginformasikan jadwal damping mahasiswa difabel studi pusat studi layanan disabilitas universitas brawijaya,"Mohammad Syaifudin Abdullah, Adam Hendra Brata, Komang Candra Brata",30 Nov 2018
maturitas tata kelola teknologi informasi universitas kanjuruhan malang kerangka kerja cobit domain plan and organise acquire and implement,"Simson Hasian Pangaribuan, Suprapto Suprapto, Yusi Tyroni Mursityo",30 Nov 2018
sistem informasi customer touching applications unit simpan pinjam metode rup studi kpri guru kecamatan sumbermanjing wetan,"Fatih Ulil Albab, Yusi Tyroni Mursityo, Djoko Pramono",30 Nov 2018
sistem informasi manajemen pelaporan sarana prasarana studi fakultas ilmu komputer universitas brawijaya,"Danniar Reza Firdausy, Satrio Agung Wicaksono, Fajar Pradana",30 Nov 2018
algoritme kmeans metode segmentasi citra identifikasi penyakit daun jeruk,"Falih Gozi Febrinanto, Candra Dewi, Anang Tri Wiratno",30 Nov 2018
pengelolaan sumber daya teknologi informasi it resource management framework cobit studi pt infomedia nusantara,"Alvian Restu Naspati, Suprapto Suprapto, Admaja Dwi Herlambang",30 Nov 2018
bangun sistem multisensor pengukuran jarak simultan,"Idang Wahyuddin Septiawan, Sabriansyah Rizqika Akbar, Dahnial Syauqy",30 Nov 2018
aplikasi mobile tracer study platform android,"Ahmad Kamil Almasyhur, Herman Tolle, Adam Hendra Brata",30 Nov 2018
pengukuran tingkat kapabilitas proses pengelolaan layanan pengelolaan aset pengelolaan operasi framework cobit studi pt pertamina persero ru vi balongan,"Lucky Hidayat, Suprapto Suprapto, Admaja Dwi Herlambang",30 Nov 2018
penjadwalan mata pelajaran kurikulum hibridisasi algoritme genetika simulated annealing studi sma negeri surabaya,"Priscillia Vinda Gunawan, Imam Cholissodin, Bayu Rahayudi",30 Nov 2018
proses bisnis manajemen inventori metode quality evaluation framework qef bidang inventori pt pjb ubjom pltu paiton,"Azri Putri Rahmatika, Nanang Yudi Setiawan, Aditya Rachmadi",30 Nov 2018
proses optimasi risiko pengelolaan keamanan pengelolaan layanan keamanan kerangka kerja cobit pt tirta investama aqua pandaan,"Vicky Nur Ardianto, Suprapto Suprapto, Admaja Dwi Herlambang",30 Nov 2018
sumber daya teknologi informasi pusat data sarana informatika kementrian komunikasi informatika republik indonesia kerangka kerja cobit sub domain edm apo dss,"Rafael George, Suprapto Suprapto, Yusi Tyroni Mursityo",30 Nov 2018
tingkat kapabilitas sumber daya teknologi informasi framework cobit subdomain edm apo dss studi daerah operasi xx,"Farah Amalia, Suprapto Suprapto, Aditya Rachmadi",30 Nov 2018
bangun sistem informasi fasilitas penunjang operasional berbasis android studi bandar udara internasional sam ratulangi manado,"Nanda Adhi Winata, Aryo Pinandito, Satrio Agung Wicaksono",30 Nov 2018
usability sistem informasi audit internal mutu pusat jaminan mutu universitas brawijaya,"Rian Rizki Prayogo, Ismiarta Aknuranda, Hanifah Muslimah Az-Zahra",30 Nov 2018
hasil produksi benih tanaman kenaf hibiscus cannabinus l metode extreme learning machine elm balai penelitian tanaman pemanis serat balittas,"Audia Refanda Permatasari, Dian Eka Ratnawati, Bayu Rahayudi",30 Nov 2018
it balanced scorecard pengukuran kinerja pusat sim perusahaan daerah air minum pdam kota malang,"Ameline Devia Mashita Zara, Suprapto Suprapto, Admaja Dwi Herlambang",30 Nov 2018
teks otomatis metode maximum marginal relevance hasil pencarian sistem temu informasi artikel berbahasa indonesia,"Nirmala Fa'izah Saraswati, Indriati Indriati, Rizal Setya Perdana",30 Nov 2018
user experience aplikasi pelaporan keluhan masyarakat metode humancentered design,"Aryun Nadaa Aniesiyah, Herman Tolle, Hanifah Muslimah Az-Zahra",30 Nov 2018
diagnosis penyakit tanaman melon metode naive bayes,"Erwan Wahyu Andrianto, Nurul Hidayat, Suprapto Suprapto",30 Nov 2018
metode text mining kmeans clustering pengelompokan dokumen skripsi studi universitas brawijaya,"Muhammad Sholeh Hudin, Mochammad Ali Fauzi, Sigit Adinugroho",30 Nov 2018
aturan fuzzy inference system mamdani algoritme particle swarm optimization sistem penyiraman otomatis tanaman tomat,"Indah Larasati, Budi Darma Setiawan, Mahendra Data",30 Nov 2018
usability antarmuka pengguna sistem informasi kesehatan heuristic walkthrough studi sistem informasi kesehatan primer poliklinik pabrik gula kebonagung malang indonesia,"Radhy Muhammad Ampera, Ismiarta Aknuranda, Retno Indah Rokhmawati",30 Nov 2018
user interface website badan narkotika nasional provinsi jawa timur pendekatan humancentered design,"Windha Parwaningsuci, Hanifah Muslimah Az-Zahra, Mochamad Chandra Saputra",30 Nov 2018
perbaikan proses bisnis business process improvement bpi root cause analisys rca quality evaluation factor qef layanan jasa pelanggan studi kantor jasa penilai publik kjpp aditya iskandar rekan,"Istania Salma, Nanang Yudi Setiawan, Ismiarta Aknuranda",30 Nov 2018
perangkat lunak layanan online kebun raya bogor berbasis web,"Elke Cahya Putri, Bayu Priyambadha, Fajar Pradana",30 Nov 2018
kapabilitas pengembangan perangkat lunak perusahaan pengembang perangkat lunak cmmi dev studi pt cendana teknika utama,"Ahmad Muzakir Mahmud, Aditya Rachmadi, Mochamad Chandra Saputra",30 Nov 2018
sistem klasifikasi sampah organik anorganik metode jaringan saraf tiruan backpropagation,"Fungki Pandu Fantara, Dahnial Syauqy, Gembong Edhi Setyawan",30 Nov 2018
aplikasi perhitungan nilai understandability berdasarkan rancangan perangkat lunak,"Mochammad Adhy, Bayu Priyambadha, Fajar Pradana",30 Nov 2018
evaluasi proses bisnis quality evaluation framework qef studi radjawali sport,"Putri Puspitasari, Aditya Rachmadi, Nanang Yudi Setiawan",30 Nov 2018
sistem aplikasi pelaporan masyarakat berbasis web kabupaten pekalongan,"Richa Amalia Permatasari, Bayu Priyambadha, Achmad Arwan",30 Nov 2018
penyakit skizofrenia episode depresi gangguan kejiwaan metode support vector machine svm,"Silvia Aprilla, Muhammad Tanzil Furqon, Mochammad Ali Fauzi",30 Nov 2018
algoritme support vector machine svm klasifikasi penyakit gejala demam,"Nurul Ihsani Fadilah, Bayu Rahayudi, Muhammad Tanzil Furqon",30 Nov 2018
metode analytic hierarchy process penentuan prioritas kategori berita studi lyt media,"Khusnul Aidil Santosa, Edy Santoso, Satrio Hadi Wijoyo",30 Nov 2018
pengaruh kualitas eservice grab customer satisfaction and loyalty esqual erecsqual,"Iqbal Caraka Altino, Himawat Aryadita, Retno Indah Rokhmawati",30 Nov 2018
sistem aplikasi transaksi bank sampah online berbasis web studi bank sampah malang,"Meilisa Dwiyati Marali, Fajar Pradana, Bayu Priyambadha",30 Nov 2018
monitoring volume gas sampah metode real time operating system rtos,"Tugar Aris Andika Prastiyo Raharjo, Sabriansyah Rizqika Akbar, Rakhmadhany Primananda",30 Nov 2018
klaster sistem penguji kode program docker,"Ferdi Cezano Santosa, Mahendra Data, Heru Nurwarsito",30 Nov 2018
indeks harga konsumen ihk kelompok perumahan air listrik gas bahan bakar metode extreme learning machine,"Irma Ramadanti Fitriyani, Budi Darma Setiawan, Rizal Setya Perdana",30 Nov 2018
tingkat produksi gula multi factor fuzzy time series dioptimasi algoritme genetika,"Kholifa'ul Khoirin, Budi Darma Setiawan, Agus Wahyu Widodo",30 Nov 2018
kualitas layanan kepuasan kepercayaan loyalitas pelanggan ecommerce studi shopee,"Yusrini Meidita, Suprapto Suprapto, Retno Indah Rokhmawati",30 Nov 2018
travelling salesman problem angkutan sekolah algoritme particle swarm optimization,"M. Khusnul Azhari, Imam Cholissodin, Fitra Abdurrachman Bachtiar",30 Nov 2018
perbandingan proses pengolahan citra fpga mikrokomputer,"Muhammad Naufal, Wijaya Kurniawan, Dahnial Syauqy",30 Nov 2018
penggunaan media sosial instagram pengaruhnya business performance satisfaction studi pengusaha kuliner kota malang,"Abdul Aziz, Yusi Tyroni Mursityo, Aditya Rachmadi",30 Nov 2018
perbaikan proses bisnis business process improvement bpi studi dinas pengendalian penduduk keluarga berencana pemberdayaan perempuan perlindungan anak kabupaten kediri,"Higam Saiful Sadzali, Nanang Yudi Setiawan, Ismiarta Aknuranda",30 Nov 2018
tata kelola teknologi informasi berdasarkan framework cobit pt krakatau tirta industri,"Safira Widya Hapsari, Ismiarta Aknuranda, Retno Indah Rokhmawati",30 Nov 2018
aplikasi android rekomendasi rental motor kota malang metode ahp topsis berbasis location based services,"Jeriko Hosea Julanto, Komang Candra Brata, Ratih Kartika Dewi",30 Nov 2018
situs web jasa tour and travel erza travel mengadaptasi human centered design,"Dinar Indah Dwi Utami, Ismiarta Aknuranda, Nanang Yudi Setiawan",30 Nov 2018
produksi kelapa sawit metode extreme learning machine elm studi pt sandabi indah lestari kota bengkulu,"Ema Agasta, Imam Cholissodin, Dian Eka Ratnawati",30 Nov 2018
proses optimasi sumber daya pengelolaan sumber daya manusia pengelolaan operasional dinas penanaman modal pelayanan terpadu pintu dki jakarta kerangka kerja cobit,"Intan Camila, Admaja Dwi Herlambang, Aditya Rachmadi",30 Nov 2018
ciri gray level cooccurrence matrix glcm citra buah jeruk keprok citrus reticulata blanco klasifikasi mutu,"Restu Widodo, Agus Wahyu Widodo, Arry Supriyanto",30 Nov 2018
wireless sensor node pemantauan lahan pertanian berbasis protokol,"Muhammad Misbahul Munir, Sabriansyah Rizqika Akbar, Adhitya Bhawiyuga",30 Nov 2018
sistem informasi pelayanan hamil platform android berbasis lokasi studi puskesmas karangploso kabupaten malang,"Muhammad Hafidz Rahman, Herman Tolle, Ratih Kartika Dewi",30 Nov 2018
diagnosis penyakit tanaman melon metode forward chaining certainty factor,"Irfan Aprison, Nurul Hidayat, Budi Darma Setiawan",30 Nov 2018
pergerakan lengan robot flexsensor kalman filter,"Hanif Yudha Prayoga, Rizal Maulana, Wijaya Kurniawan",30 Nov 2018
sistem informasi monitoring pekerjaan kantor konsultan pajak berbasis web kantor konsultan pajak i gede arianta,"Diago Ariesandika, Satrio Agung Wicaksono, Fajar Pradana",30 Nov 2018
metode simple maze wall follower free rtos robot maze,"Agung Widya Gumelar, Dahnial Syauqy, Sabriansyah Rizqika Akbar",30 Nov 2018
algoritme improved particle swarm optimization optimasi komposisi bahan makanan memenuhi kebutuhan gizi penderita penyakit diabetes melitus,"Gregorius Dhanasatya Pudyakinarya, Imam Cholissodin, Fitra Abdurrachman Bachtiar",30 Nov 2018
proses bisnis produksi garmen metode quality evaluation framework qef studi pt eratex djaja tbk probolinggo,"Mumtazah Rizti Arini, Nanang Yudi Setiawan, Aditya Rachmadi",30 Nov 2018
variasi proses bisnis jenis pembayaran tagihan air menerapkan process mining quality evaluation framework qef perusahaan daerah air minum kota malang,"Kartika Utami, Nanang Yudi Setiawan, Djoko Pramono",30 Nov 2018
diagnosis penyakit tanaman kentang metode fuzzy tsukamoto studi balai pengkajian teknologi pertanian kota malang,"Achmad Dwi Noviyanto, Nurul Hidayat, Sutrisno Sutrisno",30 Nov 2018
pengalaman pengguna website ecommerce usability testing user experience questionnaire ueq studi lazadacoid bliblicom jdid,"Ahmad Luthfi Teguh Adinegoro, Retno Indah Rokhmawati, Hanifah Muslimah Az-Zahra",30 Nov 2018
hardware redundancy sistem akuisisi data sensor metode hot standby sparing,"Arie Prayogo Pangestu, Sabriansyah Rizqika Akbar, Primantara Hari Trisnawan",30 Nov 2018
metode simple additive weighting saw penentuan penerima zakat,"Hanggar Wahyu Agi Prayogo, Lailil Muflikhah, Satrio Hadi Wijoyo",30 Nov 2018
sistem informasi ecrm berbasis website dinikoe keramik,"Farhani Ayu Amalina, Ismiarta Aknuranda, Mochamad Chandra Saputra",30 Nov 2018
sistem informasi geografis berbasis website webgis simulasi pemetaan daerah genangan banjir rob metode neighbourhood analysis studi pantai utara kota surabaya,"Taufik Brillian Nur, Alfi Nur Rusydi, Satrio Agung Wicaksono",30 Nov 2018
data mining prediksi mahasiswa pengambil mata kuliah algoritme naive bayes,"Indra Kurniawan Syahputra, Fitra Abdurrachman Bachtiar, Satrio Agung Wicaksono",30 Nov 2018
tata kelola sistem keamanan teknologi informasi indeks iso studi kominfo provinsi jawa timur,"Edo Rizky Pratama, Suprapto Suprapto, Andi Reza Perdanakusuma",30 Nov 2018
sentimen film twitter berbahasa indonesia ensemble features naive bayes,"Rosy Indah Permatasari, Mochammad Ali Fauzi, Putra Pandu Adikara, Eka Dewi Lukmana Sari",30 Nov 2018
manajemen sumber daya teknologi informasi dinas komunikasi informatika probolinggo kerangka kerja cobit,"Muhammad Oktoda Noorrohman, Suprapto Suprapto, Aditya Rachmadi",30 Nov 2018
tata kelola teknologi informasi dinas komunikasi informatika diskominfo kota probolinggo framework cobit domain deliver and support ds monitor and evaluate me,"Restu Pambudi, Suprapto Suprapto, Yusi Tyroni Mursityo",30 Nov 2018
individu berdasarkan sketsa wajah pendekatan diskriminatif,"Harits Abdurrohman, Agus Wahyu Widodo, Anto Satriyo Nugroho",30 Nov 2018
peranan persepsi kegunaan sikap penerimaan sistem informasi manajemen rumah sakit simrs rumah sakit daerah kalisat,"Seila Riska Faricha Daerina, Yusi Tyroni Mursityo, Retno Indah Rokhmawati",30 Nov 2018
perbaikan proses bisnis metode business process improvement bpi studi badan penjaminan mutu universitas widyagama malang,"Dinda Agnes Putri, Nanang Yudi Setiawan, Ismiarta Aknuranda",30 Nov 2018
monitoring denyut jantung nodemcu mqtt,"Falachudin Akbar, Rizal Maulana, Hurriyatul Fitriyah",31 Dec 2018
penerapan egovernment pemerintah kota batu kerangka kerja pemeringkatan egovernment indonesia pegi,"Ridho Fadhlurrahman, Mochammad Chandra Saputra, Admaja Dwi Herlambang",31 Dec 2018
game edukasi platformer kisah gajah mada menyatukan nusantara metode iterative with rapid prototyping,"Winny Ardhian Septiko, Muhammad Aminul Akbar, Tri Afirianto",31 Dec 2018
perbandingan konsumsi daya library image loader android studi aplikasi media sosial,"Muhammad Abyan Safitra, Mahardeka Tri Ananta, Komang Candra Brata",31 Dec 2018
metode naive bayes sistem stop kontak klasifikasi perangkat elektronik kamar,"Shelsa Faiqotul Himmah, Dahnial Syauqy, Mochammad Hannats Hanafi Ichsan",31 Dec 2018
variasi proses bisnis layanan donor darah studi utd pmi kota malang,"Inggrid E. A. Siahaan, Nanang Yudi Setiawan, Aditya Rachmadi",31 Dec 2018
persediaan spare part sepeda motor algoritme backpropagation,"Danastri Ramya Mehaninda, Imam Cholissodin, Sutrisno Sutrisno",31 Dec 2018
pendeteksi penyakit daun bawang merah probolinggo metode template matching berbasis raspberry pi,"Moch Zamroni, Hurriyatul Fitriyah, Rizal Maulana",31 Dec 2018
kualitas marketplace pt metraplasa blanjacom berdasarkan kepuasan pengguna kerangka kerja webqual importance performance analysis ipa,"Nozomi Alifia Ghaisani, Admaja Dwi Herlambang, Aditya Rachmadi",31 Dec 2018
permainan berbasis virtualrehability pasien pasca stroke myoâ armband device,"Ade Suluh Novriananda, Muhammad Aminul Akbar, Tri Afirianto",31 Dec 2018
produktivitas padi jaringan syaraf tiruan backpropagation,"Gandhi Ramadhona, Budi Darma Setiawan, Fitra A. Bachtiar",31 Dec 2018
usability perbaikan rancangan antarmuka pengguna situs web pt lintas jejak nusaraya pendekatan human center design,"Nurrachmat Ardhianto, Hanifah Muslimah Az-Zahra, Retno Indah Rokhmawati",31 Dec 2018
usability website keluarga mahasiswa sistem informasi universitas brawijaya usability testing,"Riski Adam Elimade, Retno Indah Rokhmawati, Sutrisno Sutrisno",31 Dec 2018
wearable device klasifikasi postur tubuh berbasis data sensor mpu metode naive bayes,"Vira Muda Tantriburhan Mubarak, Dahnial Syauqy, Mochammad Hannats Hanafi Ichsan",31 Dec 2018
usability mobile game pokemon go metode heuristic,"Farandi Angesti, Eriq Muh. Adams Jonemaro, Issa Arwani",31 Dec 2018
teknik enkoding digital pembacaan sensor ultrasonik memetakan keputusan aksi robot quadruped,"Oggy Setiawan, Dahnial Syauqy, Wijaya Kurniawan",31 Dec 2018
berita twitter metode naive bayes query expansion hipernimhiponim,"Fakhruddin Farid Irfani, Mochammad Ali Fauzi, Yuita Arum Sari",31 Dec 2018
variasi proses bisnis penanganan pengaduan menerapkan process mining quality evaluation framework qef studi perusahaan daerah air minum kota malang,"Dwi Asri Nuryulianti, Nanang Yudi Setiawan, Djoko Pramono",31 Dec 2018
deteksi pengenalan jenis rambu lintas metode shape detection raspberry pi,"Olivia Rumiris Sitanggang, Hurriyatul Fitriyah, Fitri Utaminingrum",31 Dec 2018
kredit macet berdasarkan preferensi nasabah metode klasifikasi c koperasi simpan pinjam mitra raya wates,"Iqbal Taufiq Ahmad Nur, Nanang Yudi Setiawan, Fitra Abdurrachman Bachtiar",31 Dec 2018
konsep internet of things sistem monitoring banjir protokol mqtt,"Chrisyantar Hasiholan, Rakhmadhany Primananda, Kasyful Amron",31 Dec 2018
holts winters exponential smoothing peramalan indeks harga konsumen kelompok transportasi komunikasi jasa keuangan,"Achmad Fahlevi, Fitra Abdurrachman Bachtiar, Budi Darma Setiawan",31 Dec 2018
penjadwalan shift jaga dokter igd algoritme genetika studi rumah sakit malang,"Annisaa Amalia Safitri, Imam Cholissodin, Lailil Muflikhah",31 Dec 2018
perancangan user interface meningkatkan user experience metode human centered design heuristic evaluation aplikasi ezypay,"Dhika Rozqi Anggitama, Herman Tolle, Hanifah Muslimah Az-Zahra",31 Dec 2018
metode learning vector quantization lvq klasifikasi fungsi senyawa aktif notasi simplified molecular input line system smiles,"Suhhy Ramzini, Dian Eka Ratnawati, Syaiful Anam",31 Dec 2018
sistem aplikasi portal informasi perguruan indonesia berbasis website,"Yudistira Sugandi, Bayu Priyambadha, Denny Sagita Rusdianto",31 Dec 2018
sistem informasi izin kerja praktik tenaga kesehatan sinkes dinas kesehatan kota xyz,"Rosalia Indah, Yusi Tyroni Mursityo, Mochamad Chandra Saputra",31 Dec 2018
aplikasi manajemen pra lelang studi pt pertamina ep,"Fathania Fadilla, Hiwamat Aryadita, Satrio Agung Wicaksono",31 Dec 2018
website villas homestay kota wisata batu webqual importance performance analysis ipa,"Ebid Dliya'ul Haq, Retno Indah Rokhmawati, Satrio Hadi Wijoyo",31 Dec 2018
perbaikan proses bisnis metode business process improvement bpi studi pt wonojati wijoyo,"Tri Susanto, Djoko Pramono, Nanang Yudi Setiawan",31 Dec 2018
perbaikan rancangan pemesanan pcb situs sfeelectronicscom,"Sanya Nabiela Nuraida, Ismiarta Aknuranda, Djoko Pramono",31 Dec 2018
metode naive bayescertainty factor diagnosis penyakit kelamin lakilaki,"Bayu Febrian Putera Ammal, Nurul Hidayat, Suprapto Suprapto",31 Dec 2018
dokumen skripsi hierarchical agglomerative clustering,"Danang Aditya Wicaksana, Putra Pandu Adikara, Sigit Adinugroho",31 Dec 2018
sistem informasi pelayanan surat keterangan studi pemerintah desa legundi kecamatan karangjati kabupaten ngawi,"Tio Renndy Winarna, Ismiarta Aknuranda, Mochamad Chandra Saputra",31 Dec 2018
sentimen opini pelanggan aspek pariwisata pantai malang selatan tfidf support vector machine,"Yoga Tika Pratama, Fitra Abdurrachman Bachtiar, Nanang Yudi Setiawan",31 Dec 2018
algoritme speck enkripsi dekripsi qr code,"Yuniar Siska Fatmala, Ari Kusyanti, Mahendra Data",31 Dec 2018
rute multiple travelling salesman problem distribusi es batu algoritme artificial bee colony abc,"Muhammad Aghni Nur Lazuardy, Imam Cholissodin, Muhammad Tanzil Furqon",31 Dec 2018
algoritme blakes json web token jwt algoritme hashing mekanisme autentikasi layanan restapi,"Bagus Satria Wiguna, Ari Kusyanti, Widhi Yahya",31 Dec 2018
antarmuka website pppa daarul quran malang metode goal directed design,"Alif Akbar Tejamukti, Hanifah Muslimah Az-Zahra, Retno Indah Rokhmawati",31 Dec 2018
refresh materialized query tablemqt memanfaatkan staging table optimasi query execution time resources,"Dirga Harjuna Putra, Aryo Pinandito, Djoko Pramono",31 Dec 2018
algoritme kriptografi lizard mengamankan pengiriman data arsitektur web service rest mikrokontroler nodemcu,"Kalbuadi Joyoputro, Ari Kusyanti, Fariz Andri Bakhtiar",31 Dec 2018
sistem informasi pasien operasi visite tenaga medis berbasis android rumah sakit xyz,"Eki Yusandhi Iskandar, Herman Tolle, Issa Arwani",31 Dec 2018
aplikasi honda care sistem perawatan sepeda motor metode prototyping studi ahass kota malang,"Wisnu Galih Pradita, Adam Hendra Brata, Mahardeka Tri Ananta",31 Dec 2018
deteksi perhatian operator kamera pengawas monitor haar cascade classifier,"Devi Ayu Ratnasari, Hurriyatul Fitriah, Mochammad Hannats Hanafi Ichsan",31 Dec 2018
kelayakan kandang sapi metode ahptopsis studi upt pembibitan ternak hijauan makanan ternak singosari,"Edi Siswanto, Nurul Hidayat, Nurudin Santoso",31 Dec 2018
fuzzy knearest neighbor fknn mengklasifikasi fungsi senyawa berdasarkan simplified molecular input line entry system smiles,"Raden Rizky Widdie Tigusti, Dian Eka Ratnawati, Syaiful Anam",31 Dec 2018
sistem informasi penggajian karyawan bus pariwisata pt mahkota mitra sentosa metode rational unified process rup,"Tedja Adhi Putra, Yusi Tyroni Mursityo, Djoko Pramono",31 Dec 2018
metode data mining knearest neighbor naive bayes klasifikasi kualitas air bersih studi pdam tirta kencana kabupaten jombang,"Maulana Aditya Rahman, Nurul Hidayat, Ahmad Afif Supianto",31 Dec 2018
sentimen opini film metode naive bayes ensemble feature seleksi fitur pearson correlation coefficient,"Fachrul Rozy Saputra Rangkuti, Mochammad Ali Fauzi, Yuita Arum Sari, Eka Dewi Lukmana Sari",31 Dec 2018
