Judul
mixed reality system pepper ghost system kendali gerakan tangan berbasis kinect
penjadwalan mata pelajaran metode tabu searchstudi smkn singosari
push notification websocket
sistem informasi manajemen keluhan pelanggan berbasis webgisstudi outlet mcdonalds cabang watu gong malang
metode store and forward hypertext transfer protocol http
webgis inventarisasi pulaustudi pulau lombok ntb
rekomendasi pemilihan sekolah menengah sederajat kota malang metode ahp electre topsis
pendulum prototipe mobil metode kendali proporsional intregatif derivatif
implementasi real segway skateboard roda gyroscope accelerometer
penjadwalan flexible job shop problem real coded genetic algorithm
portofolio saham optimal algoritma genetika
komposisi pakan sapi perah algoritma genetika
modified knearest neighbor otomatisasi nilai k pengklasifikasian penyakit tanaman kedelai
pemilihan pekerja bangunan proyek pt citra anggun pratama algoritma genetika
kunjungan wisatawan kota batu metode time invariant fuzzy time series
algoritma nearest insertion heuristic modified nearest insertion heuristic optimasi rute kendaraan pengangkut sampah studi dinas kebersihan pertamanan kota malang
algoritma genetika optimasi vehicle routing problem with time window vrptw studi air minum kemasan
kualitas website egovernment pejabat pengelola informasi dokumentasi ppid dimensi egovqual studi dinas komunikasi informatika pemerintah kota probolinggo
publishsubscribe delay tolerant network dtn
keanggotaan fuzzy tsukamoto algoritma genetika penentuan prioritas penerima zakat
interaksi aplikasi pengendali smart home smartphone android
sistem monitoring detak jantung suhu tubuh manusia wireless
bangun low power sensor node msp berbasis nrfl
perbandingan performa routing flooding convergecast wireless sensor network
fail path arsitektur software defined network dijkstra algorithm
tepi danau citra satelit metode canny
sistem pemetaan ruangan dimensi sensor ultrasonik
perbandingan penetration testing tool aplikasi web
optimasi rute wisata kuliner malang algoritma bee colony
mobile augmented reality aplikasi pemilihan sarana prasarana laboratorium sekolah menengah
bangun sistem sortir buah apel sensor warna sensor suhu
autisme anak metode modified knearest neighbor mknn
penjadwalan perkuliahan hybrid discrete particle swarm optimization studi ptiik universitas brawijaya
algoritma genetika optimasi multidimensional knapsack problem pendistribusian produk studi udtosa
komposisi makanan penderita diabetes melitus komplikasinya algoritma genetika
kendali palang pintu kereta api ir sensor nrfl
monitoring suhu kelembaban pengendali penyiraman tanaman hidroponik blynk android
aplikasi mobile augmented reality rehabilitasi terkilir pergelangan kaki
literatur ilmu komputer bahasa indonesia berbasis fitur statistik linguistik metode gaussian naive bayes
pakar klasifikasi permasalahan berdasar aum fcmfis tsukamoto
gabungan metode bayesian backpropagation peramalan pengangguran terbuka indonesia
pengangguran terbuka indonesia metode geneticbased backpropagation
siswa berprestasi metode knearest neighbor weighted product studi smp negeri mejayan
pendeteksi pencemaran udara ambien kawasan lumpur lapindo logika fuzzy
penyakit tanaman jarak pagar metode fuzzy knearest neighbor fknn
metode knearest neighbor knn metode weighted product wp penerimaan calon guru karyawan tata usaha berwawasan teknologi studi sekolah menengah kejuruan muhammadiyah kediri
sistem kontrol monitoring ph tanaman kentang aeroponik wireless
sistem pakar diagnosis penyakit tanaman apel metode backward chaining certainty factor
tweets twitter metode fuzzy knearest neighbour fuzzy knn query expansion berbasis apriori
pengendali rumah smartphone android konektivitas bluetooth
pakar diagnosis penyakit demam dbd malaria tifoid metode knearest neighbor certainty factor
pendeteksi dehidrasi berdasarkan warna kadar amonia urin berbasis sensor tcs mq metode naive bayes
kendali berbasis mikrokontroler protokol mqtt smarthome
algoritma genetika penjadwalan customer service studi biro perjalanan kangoroo
pengiriman data sensor lm perbandingan insert basis data mysql mongodb
membership model fuzzy perubahan suhu inkubator penetas telur
